"Name","Team","Kills","Assists","Deaths","HS%","Team_kill","All_entries_won","Bomb_planted","Bomb_defused","KPR","APR","DPR","ADR","TDH","TDA","5K","4K","3K","2K","1K","Trade_kill","Trade_death","1v1","1v1_won","1v2","1v2_won","1v3","1v3_won","1v4","1v4_won","1v5","1v5_won","Utility","Map","Year","Map_Type","Event","Flashed_opponents_for","CT_entry_attempts","CT_entry_attempts_won","T_entry_attempts","T_entry_attempts_won"
"Magisk","Astralis",24,4,18,54.17,0,1,0,1,0.83,0.14,0.62,82.3,2386,374,0,0,1,7,7,1,5,0,0,1,1,0,0,0,0,1,0,233272,"de_dust2","02-11-2021","BO1","PGL Major Stockholm 2021",36.31,5,2,1,1
"apEX","Vitality",19,8,21,26.32,0,2,0,0,0.66,0.28,0.72,87.8,2546,354,0,0,1,5,6,3,4,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","02-11-2021","BO1","PGL Major Stockholm 2021",91.66,2,1,2,1
"gla1ve","Astralis",17,5,18,35.29,0,4,1,1,0.59,0.17,0.62,69,2002,271,0,0,1,4,6,4,1,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","02-11-2021","BO1","PGL Major Stockholm 2021",145.37,7,3,4,2
"ZywOo","Vitality",29,7,14,34.48,1,1,2,0,1,0.24,0.48,105.3,3055,244,0,1,1,7,9,5,3,0,0,0,0,1,0,0,0,0,0,233272,"de_dust2","02-11-2021","BO1","PGL Major Stockholm 2021",112.19,5,5,1,1
"Kyojin","Vitality",16,6,15,50,0,4,2,0,0.55,0.21,0.52,53,1536,232,0,0,1,3,7,1,1,0,0,0,0,0,0,0,0,0,0,233272,"de_dust2","02-11-2021","BO1","PGL Major Stockholm 2021",102.27,6,1,4,2
"shox","Vitality",21,7,16,57.14,0,1,4,0,0.72,0.24,0.55,78,2263,382,0,0,1,6,6,3,2,0,0,0,0,0,0,1,0,0,0,233272,"de_dust2","02-11-2021","BO1","PGL Major Stockholm 2021",149.1,1,0,1,0
"Lucky","Astralis",12,5,22,41.67,0,2,3,0,0.41,0.17,0.76,59.4,1724,97,0,0,0,3,6,1,2,0,0,1,1,1,0,0,0,0,0,233272,"de_dust2","02-11-2021","BO1","PGL Major Stockholm 2021",93.79,3,2,2,0
"dupreeh","Astralis",20,1,16,60,0,1,0,0,0.69,0.03,0.55,67.3,1953,369,0,0,2,5,4,5,1,0,0,0,0,0,0,1,0,1,0,233272,"de_dust2","02-11-2021","BO1","PGL Major Stockholm 2021",41.68,1,1,1,1
"roeJ","Copenhagen Flames",22,3,19,68.18,0,5,2,0,0.85,0.12,0.73,93.7,2436,317,0,0,1,7,5,2,2,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","03-11-2021","BO1","PGL Major Stockholm 2021",19.34,3,2,5,4
"Zyphon","Copenhagen Flames",16,5,14,56.25,0,3,1,0,0.62,0.19,0.54,77,2003,195,0,0,1,3,7,2,2,0,0,0,0,0,0,0,0,0,0,233272,"de_nuke","03-11-2021","BO1","PGL Major Stockholm 2021",3.87,1,1,3,2
